site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2021-01-01,0,0.2180,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,1,0.2390,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,2,0.2260,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,3,0.4160,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,5,0.2500,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,6,0.1490,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,7,0.1360,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,8,0.1620,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,9,0.1280,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,10,0.1500,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,11,0.1260,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,12,0.1450,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,13,0.1320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,14,0.1400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,15,0.1380,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,16,0.1740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,17,0.2700,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,18,0.4050,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,19,1.0780,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,20,1.7780,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,21,1.6660,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,22,0.3870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-01,23,0.5670,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,0,0.6820,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,1,0.3840,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,2,0.4520,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,3,0.3990,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,5,1.7550,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,6,2.1590,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,7,1.5730,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,8,1.0830,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,9,0.6920,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,10,0.3750,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,11,0.2920,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,12,0.2190,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,13,0.1870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,14,0.1780,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,15,0.2010,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,16,0.3110,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,17,0.4240,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,18,0.6320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,19,0.5710,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,20,0.3140,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,21,0.2730,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,22,0.4280,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-02,23,0.4580,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,0,0.3160,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,1,0.2740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,2,0.2950,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,3,0.3100,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,5,0.4480,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,6,0.5480,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,7,0.6740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,8,0.8730,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,9,0.4150,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,10,0.2400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,11,0.2090,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,12,0.2200,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,13,0.2230,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,14,0.1770,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,15,0.2040,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,16,0.2790,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,17,0.5930,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,18,0.8020,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,19,0.8230,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,20,0.6740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,21,0.4070,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,22,0.7700,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-03,23,0.8690,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,0,0.5660,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,1,0.5440,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,2,0.4280,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,3,0.3730,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,5,0.5640,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,6,0.7390,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,7,0.7810,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,8,0.3750,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,9,0.2350,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,10,0.2010,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,11,0.1890,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,12,0.1850,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,13,0.1750,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,14,0.1640,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,15,0.2030,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,16,0.2920,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,17,0.3770,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,18,0.4760,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,19,0.6120,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,20,0.8090,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,21,1.1380,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,22,0.7100,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-04,23,0.6820,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,0,0.4570,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,1,0.4990,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,2,0.5140,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,3,0.6190,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,5,1.1830,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,6,1.4340,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,7,1.5940,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,8,1.3060,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,9,0.2280,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,10,0.2000,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,11,0.1740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,12,0.1670,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,13,0.1690,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,14,0.1500,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,15,0.1580,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,16,0.2590,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,17,0.6050,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,18,0.7880,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,19,0.7520,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,20,0.8360,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,21,0.7740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,22,0.4940,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-05,23,0.3050,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,0,0.2220,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,1,0.1400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,2,0.1720,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,3,0.2470,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,5,0.9850,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,6,1.0500,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,7,0.7770,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,8,0.5490,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,9,0.3410,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,10,0.2050,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,11,0.1550,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,12,0.1860,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,13,0.1470,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,14,0.1650,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,15,0.1660,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,16,0.2840,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,17,0.7920,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,18,1.0010,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,19,1.6380,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,20,1.7980,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,21,0.7310,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,22,0.8160,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-06,23,0.7750,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,0,1.4320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,1,2.0110,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,2,1.1690,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,3,0.6330,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,5,0.6730,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,6,0.6540,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,7,0.7170,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,8,0.3120,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,9,0.2270,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,10,0.1790,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
