site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-01,0,0.0238,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,1,0.0219,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,2,0.0108,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,3,0.0094,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,4,0.0089,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,5,0.0086,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,6,0.0099,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,7,0.0135,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,8,0.0278,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,9,0.0169,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,10,0.0124,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,11,0.0063,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,12,0.0040,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,13,0.0034,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,14,0.0042,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,15,0.0043,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,16,0.0050,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,17,0.0144,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,18,0.0220,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,19,0.0270,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,20,0.0267,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,21,0.0188,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,22,0.0192,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-01,23,0.0195,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,0,0.0216,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,1,0.0205,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,2,0.0191,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,3,0.0172,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,4,0.0152,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,5,0.0131,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,6,0.0141,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,7,0.0146,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,8,0.0096,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,9,0.0060,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,10,0.0046,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,11,0.0033,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,12,0.0028,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,13,0.0034,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,14,0.0034,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,15,0.0048,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,16,0.0103,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,17,0.0259,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,18,0.0348,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,19,0.0339,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,20,0.0342,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,21,0.0295,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,22,0.0258,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-02,23,0.0264,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,0,0.0228,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,1,0.0201,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,2,0.0190,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,3,0.0165,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,4,0.0144,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,5,0.0147,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,6,0.0143,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,7,0.0157,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,8,0.0243,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
