site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3135,2021-01-01,0,42.1,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,1,39.9,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,2,42.9,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,3,49.2,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,4,49.4,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,5,50.2,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,6,48.7,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,7,41.5,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,8,35.6,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,9,30.7,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,10,24.5,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,11,22.2,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,12,21.0,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,13,20.7,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,14,19.7,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,15,19.2,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,16,21.2,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,17,26.6,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,18,30.7,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,19,34.4,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,20,38.0,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
3135,2021-01-01,21,40.6,RELHUM,Percent ( % ),0,y,AIRS,H,-99,Calexico-Ethel Street 
